team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points
Arsenal FC,20,15,3,2,26,5,21,48
Aston Villa FC,20,13,3,4,18,8,10,42
Manchester City FC,19,13,2,4,25,6,19,41
Liverpool FC,19,10,3,6,15,10,5,33
Manchester United FC,19,8,6,5,18,13,5,30
Chelsea FC,19,8,6,5,15,11,4,30
Sunderland AFC,19,7,8,4,16,8,8,29
Brighton & Hove Albion FC,20,7,7,6,18,11,7,28
Everton FC,19,8,4,7,11,10,1,28
Brentford FC,19,8,3,8,20,10,10,27
Fulham FC,19,8,3,8,15,10,5,27
Crystal Palace FC,19,7,6,6,10,12,-2,27
Newcastle United FC,19,7,5,7,16,12,4,26
Tottenham Hotspur FC,19,7,5,7,11,11,0,26
AFC Bournemouth,20,5,8,7,13,9,4,23
Leeds United FC,19,5,6,8,17,12,5,21
Nottingham Forest FC,20,5,3,12,12,17,-5,18
West Ham United FC,20,3,5,12,12,23,-11,14
Burnley FC,20,3,3,14,8,13,-5,12
Wolverhampton Wanderers FC,20,1,3,16,10,23,-13,6
