team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points
Arsenal FC,20,15,3,2,40,14,26,48
Aston Villa FC,20,13,3,4,33,24,9,42
Manchester City FC,19,13,2,4,43,17,26,41
Liverpool FC,19,10,3,6,30,26,4,33
Chelsea FC,19,8,6,5,32,21,11,30
Manchester United FC,19,8,6,5,33,29,4,30
Sunderland AFC,19,7,8,4,20,18,2,29
Brighton & Hove Albion FC,20,7,7,6,30,27,3,28
Everton FC,19,8,4,7,20,20,0,28
Brentford FC,19,8,3,8,28,26,2,27
Crystal Palace FC,19,7,6,6,22,21,1,27
Fulham FC,19,8,3,8,26,27,-1,27
Tottenham Hotspur FC,19,7,5,7,27,23,4,26
Newcastle United FC,19,7,5,7,26,24,2,26
AFC Bournemouth,20,5,8,7,31,38,-7,23
Leeds United FC,19,5,6,8,25,32,-7,21
Nottingham Forest FC,20,5,3,12,19,33,-14,18
West Ham United FC,20,3,5,12,21,41,-20,14
Burnley FC,20,3,3,14,20,39,-19,12
Wolverhampton Wanderers FC,20,1,3,16,14,40,-26,6
